image_id,baseline_dice,result_dice,delta_dice,selected_positive,selected_negative,selected_boundary
PolypGen__C5_EndoCV2021_C5_50000126,1.326259935208185e-10,1.326259935208185e-10,0.0,,,
PolypGen__C1_375OLCV1_100H0008,1.3579576352285017e-10,1.3579576352285017e-10,0.0,,,
PolypGen__C4_18_endocv2021_positive_341,1.3644425866932153e-10,1.3644425866932153e-10,0.0,,,
PolypGen__C2_EndoCV2021_001157,1.4046916407828292e-10,1.4046916407828292e-10,0.0,,,
PolypGen__C4_23_endocv2021_positive_480,1.453699660647345e-10,1.453699660647345e-10,0.0,,,
PolypGen__C1_564OLCV1_100H0002,1.4541223780639712e-10,1.4541223780639712e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_1069,1.4658457780925005e-10,1.4658457780925005e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_302,1.506704899734146e-10,1.506704899734146e-10,0.0,,,
PolypGen__C2_EndoCV2021_001033,1.5142337383977633e-10,1.5142337383977633e-10,0.0,,,
PolypGen__C4_20_endocv2021_positive_417,1.5218383497828114e-10,1.5218383497828114e-10,0.0,,,
PolypGen__C1_510OLCV1_100H0010,1.5571473277464776e-10,1.5571473277464776e-10,0.0,,,
PolypGen__C4_30_endocv2021_positive_876,1.5647003137608806e-10,1.5647003137608806e-10,0.0,,,
PolypGen__C4_11_endocv2021_positive_1228,1.5656802243579904e-10,1.5656802243579904e-10,0.0,,,
PolypGen__C2_EndoCV2021_001388,1.589825077141782e-10,1.589825077141782e-10,0.0,,,
PolypGen__C2_EndoCV2021_001075,1.6015375137179433e-10,1.6015375137179433e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_0097,1.624959333756948e-10,1.624959333756948e-10,0.0,,,
PolypGen__C2_EndoCV2021_001131,1.6583748263521159e-10,1.6583748263521159e-10,0.0,,,
PolypGen__C4_24_endocv2021_positive_1150,1.7259234319499939e-10,1.7259234319499939e-10,0.0,,,
PolypGen__C2_EndoCV2021_001085,1.7298044940883273e-10,1.7298044940883273e-10,0.0,,,
PolypGen__C4_11_endocv2021_positive_1344,1.731901566603966e-10,1.731901566603966e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000121,1.7461149193209735e-10,1.7461149193209735e-10,0.0,,,
PolypGen__C4_27_endocv2021_positive_27,1.7711654365371032e-10,1.7711654365371032e-10,0.0,,,
PolypGen__C2_EndoCV2021_001118,1.7995320511499102e-10,1.7995320511499102e-10,0.0,,,
PolypGen__C2_EndoCV2021_001122,1.8092997933205623e-10,1.8092997933205623e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000314,1.8525379841261014e-10,1.8525379841261014e-10,0.0,,,
PolypGen__C1_510OLCV1_100S0009,1.8635855358883902e-10,1.8635855358883902e-10,0.0,,,
PolypGen__C2_EndoCV2021_001010,1.9685039709393948e-10,1.9685039709393948e-10,0.0,,,
PolypGen__C6_EndoCV2021_C6_0100065,1.9700550912826742e-10,1.9700550912826742e-10,0.0,,,
PolypGen__C3_C3_EndoCV2021_00404,2.0242914289259062e-10,2.0242914289259062e-10,0.0,,,
PolypGen__C5_EndoCV2021_C5_50000140,2.117746672469778e-10,2.117746672469778e-10,0.0,,,
PolypGen__C1_371OLCV1_100H0006,2.1872266497968695e-10,2.1872266497968695e-10,0.0,,,
PolypGen__C4_14_endocv2021_positive_230,2.2045855418983962e-10,2.2045855418983962e-10,0.0,,,
PolypGen__C4_32_endocv2021_positive_269,2.227171502777736e-10,2.227171502777736e-10,0.0,,,
